,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
07/08/2020 21:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,No,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,No,Sometimes,Disturbed,Fun and expressive,NA,NA,"I hav not had any trauma or some bad effect. I used to exercise daily but now it just sometimes. Its comforting, pleasant wid my family. Due to lockdown i hav done creative things at my home. ",,,2.13=2,0.4+0.31+0.73+0.29+0.4,
07/08/2020 21:44,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,4,Sometimes,Yes,"Studying /being academically inclined, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not at all,Regularly,Regular home cooked food,Hunger,Humbling,Motivated,Happy,Yes,Sometimes,Normal,Fun and expressive,NA,NA,Experienced lots of thinks which I never noticed before this event lifestyles...!!,,,1.63=2,0.35+0.3+0.38+0.31+0.29,
07/08/2020 21:50,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,3,Often,Yes,"Studying /being academically inclined, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Somewhat,Somedays,Regular home cooked food,Emotional distress,Chaotic,Anxious,Agitated/ Sad,Yes,Never,Disturbed,Toxic and Argumentative,Yes,No,I feel low all the time.,,,4.64=5,0.5+0.47+0.33+0.81+2.53,
07/08/2020 21:54,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",No,2,Sometimes,Yes,"Household chores, Netflix or Other OTT",No,Less than 1 hour,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Boredom,Numb,Directionless,Agitated/ Irritable,Yes,Sometimes,Normal,Formal and unyielding,NA,NA,Mental stress and emotionally week but physically fit,4,,3.6=4,0.5+0.49+0.48+0.47+1.66,
07/08/2020 21:56,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,1,Rarely,No,Household chores,No,3-4 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Emotional distress,Chaotic,Directionless,Agitated/ Irritable,Yes,Sometimes,Disturbed,Formal and unyielding,No,No,Future seems directionless no idea what is going to happen,4,,3.39=3,0.4+0.25+0.89+0.89+0.96,
07/08/2020 21:58,Female,Under graduate,At home with family,No effect,No,4,Sometimes,Yes,Household chores,"Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Numb,Anxious,"Moody, Sad",Yes,Rarely,Disturbed,Toxic and Argumentative,Yes,Yes,Worst time to be alive.,,,4.94=5,0.4+0.25+0.88+0.77+2.64,
07/08/2020 21:58,Female,Postgraduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Humbling,Anxious,Moody,No,Often,Normal,Fun and expressive,NA,NA,Great experience as I get to spend time with my parents but sometimes I get moody as I I can't go out ..meet people . ,1,,2.73=3,0.35+0.33+0.87+0.73+0.45,
07/08/2020 22:02,Female,Class 10-12,At home with family,No effect,Yes,2,Sometimes,No,Studying /being academically inclined,No,1-2 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Numb,Directionless,"Agitated/ Irritable, Moody, Sad",Yes,Rarely,Normal,Formal and unyielding,No,Yes,"I gained weight , I got distracted and my social life declined. ",4,,4.62=5,0.5+0.42+0.88+0.93+1.89,
07/08/2020 22:07,Male,Class 10-12,At home with family,No effect,No,5,Often,No,Gaming,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Regularly,Regular home cooked food,Boredom,Pleasant,Didn't think about it,Satisfied,No,Often,Normal,Fun and expressive,No,No,Lockdown was very positive for me it did not made any of the harmful effects on my body i usually like to do workout on daily basis ,5,,2.1=2,0.45+0.2+0.79+0.44+0.22,
07/08/2020 22:12,Male,Postgraduate,At hostel/flat with friends,"Yes, i'm more optimistic now",No,3,Often,Yes,"Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Significantly,Regularly,Regular home cooked food,Boredom,Numb,Directionless,Moody,No,Sometimes,Disturbed,Fun and expressive,No,Yes,I've been more particular with my calorie intake. Although I feel mentally exhausted working from home. Emotionally I'd say I've been able to bond with family and friends better post lockdown. ,4,,3.59=4,0.35+0.33+0.51+0.67+1.73,
07/08/2020 22:21,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,Yes,Often,Normal,Fun and expressive,NA,NA,NA,5,,1.55=2,0.35+0.13+0.39+0.38+0.3,
07/08/2020 22:22,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,4,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Somewhat,Somedays,Binge ate crisps and snacks,Boredom,Pleasant,Excited,Satisfied,Yes,Often,Disturbed,Comforting and warm,NA,NA,It was a much needed break.,4,,2.62=3,0.4+0.18+0.29+0.88+0.87,
07/08/2020 22:29,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,Gaming,"Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've lost weight,Not at all,Regularly,Regular home cooked food,Boredom,Humbling,Motivated,Moody,No,Sometimes,Oversleeping,Comforting and warm,No,Yes,Jeans phne 3 mhina hogya,5,,3.62=4,0.35+0.33+0.91+0.39+1.64,
07/08/2020 22:29,Male,Under graduate,Alone,No effect,Maybe,3,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping",No,Almost 6 hours,I eat in regulation,Unchanged,Not much,Somedays,Binge ate crisps and snacks,Hunger,Humbling,Anxious,Moody,Yes,Sometimes,Normal,Comforting and warm,NA,NA,It is pretty wise in terms of all the three parameters and the time has passed pretty quick.,4,,2.46=2,0.45+0.29+0.81+0.36+0.55,
07/08/2020 22:31,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Maybe,2,Sometimes,Yes,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I under eat,I've lost weight,Somewhat,Never,Fried/ junk food,Boredom,Numb,Anxious,"Agitated/ Irritable, Moody",No,Sometimes,Oversleeping,Comforting and warm,No,Yes,It was disturbing and give me a lot of alone time with my thoughts and my thoughts aren't really a safe place for me. Insecurity led me to losing my appetite.,4,,4.37=4,0.4+0.55+0.96+0.77+1.69,
07/08/2020 22:31,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,4,Rarely,Yes,"Gaming, Sleeping",No,3-4 hours,I overeat,I've gained weight,Somewhat,Never,Regular home cooked food,Hunger,Numb,Directionless,Moody,No,Rarely,Oversleeping,Fun and expressive,NA,NA,Good,4,,3.04=3,0.4+0.18+0.79+0.0.68+0.99,
07/08/2020 22:34,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,4,Sometimes,Yes,Netflix or Other OTT,No,1-2 hours,I eat in regulation,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Pleasant,Directionless,Moody,No,Sometimes,Disturbed,Comforting and warm,NA,NA,Laziness increased and not soo much mentally and emotionally ,4,,3.21=3,0.35+0.41+0.75+0.59+1.11,
07/08/2020 22:34,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,4,Sometimes,Yes,Netflix or Other OTT,No,1-2 hours,I overeat,Unchanged,Not at all,Somedays,Regular home cooked food,Hunger,Pleasant,Anxious,Agitated/ Irritable,No,Rarely,Oversleeping,Fun and expressive,NA,NA,"It was great. Learnt many new things of which cooking is one, overall it was great.",5,,2.73=3,0.45+0.18+0.75+0.39+0.96,
07/08/2020 22:39,Male,Class 10-12,At home with family,No effect,Yes,1,Rarely,No,Sleeping,No,3-4 hours,I eat in regulation,Unchanged,Not much,Never,Regular home cooked food,Emotional distress,Chaotic,Directionless,"Agitated/ Irritable, Moody",No,Sometimes,Disturbed,Comforting and warm,No,Yes,"Fatter,mental health fine, padhai karna bhool gaya fuck screens",5,,4.05=4,0.45+0.49+0.99+0.73+1.39,
07/08/2020 22:39,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,5,Quite often,No,"Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I overeat,Unchanged,Not at all,Never,Regular home cooked food,Boredom,Pleasant,Excited,"Happy, Satisfied",No,Often,Oversleeping,Fun and expressive,No,Yes,"It is really productive, postive with sleeping and eating ",4,,2.68=3,0.45+0.27+0.44+0.63+0.89,
07/08/2020 22:41,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Often,No,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Somewhat,Somedays,Regular home cooked food,Boredom,Chaotic,Anxious,Moody,Yes,Sometimes,Disturbed,Formal and unyielding,No,yes,-,4,,3.98=4,0.4+0.39+0.49+0.79+1.91,
07/08/2020 22:46,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,No,"Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Moody,No,Sometimes,Disturbed,Fun and expressive,NA,NA,"Gained a little weight, was disturbed at first but then came back when i started rapping.",5,,2.86=3,0.45+0.33+0.56+0.64+0.88,
07/08/2020 22:46,Female,Class 10-12,At home with family,No effect,Maybe,3,Sometimes,Yes,"Studying /being academically inclined, Gaming, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,"Happy, Moody",No,Sometimes,Disturbed,Comforting and warm,NA,NA,,4,,1.91=2,0.5+0.3+0.48+0.29+0.34,
07/08/2020 22:46,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,No,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,I've gained weight,Not much,Never,Regular home cooked food,Hunger,Numb,Directionless,Moody,No,Often,Normal,Comforting and warm,Yes,NA,Can't describe in words . a bit roller coaster ride,3,,3.89=4,0.35+0.33+0.79+0.46+1.96,
07/08/2020 22:49,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,5,Quite often,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Significantly,Regularly,Regular home cooked food,Boredom,Pleasant,Motivated,Happy,Yes,Often,Normal,Fun and expressive,Yes,Yes,He,5,,3.5=4,0.45+0.18+0.44+0.76+1.67,
07/08/2020 22:50,Female,Postgraduate,At home with family,"Yes, i'm more pessimistic now",No,3,Sometimes,No,Household chores,No,1-2 hours,I overeat,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Chaotic,Directionless,Moody,Yes,Sometimes,Normal,Formal and unyielding,NA,No,Ok ok,3,,3.54=4,0.35+0.43+0.67+0.76+1.33,
07/08/2020 22:53,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,4,Sometimes,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I under eat,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Anxious,Satisfied,No,Rarely,Normal,Fun and expressive,No,NA,.,4,,2.11=2,0.35+0.27+0.33+0.49+0.67,
07/08/2020 22:54,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,2,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I under eat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Chaotic,Anxious,"Agitated/ Irritable, Moody",Yes,Rarely,Disturbed,Toxic and Argumentative,NA,NA,Disturbed,3,,3.77=4,0.5+0.39+0.56+0.56+1.76,
07/08/2020 22:55,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,4,Often,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Hunger,Humbling,Anxious,Satisfied,Yes,Sometimes,Disturbed,Fun and expressive,NA,NA,Good,1,,1.83=2,0.35+0.41+0.29+0.11+0.67,
07/08/2020 22:56,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Sometimes,No,Household chores,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Somewhat,Regularly,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Satisfied,No,Sometimes,Normal,Comforting and warm,NA,NA,Worst time of my life,4,,2.6=3,0.4+0.13+0.59+0.52+0.96,
07/08/2020 22:57,Female,Under graduate,At home with family,No effect,Yes,4,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,I've gained weight,Not much,Never,Regular home cooked food,Boredom,Pleasant,Directionless,"Happy, Satisfied, Agitated/ Irritable, Moody, Sad",No,Often,Normal,Fun and expressive,NA,NA,Relaxing but anxious at times ,3,,2.74=3,0.4+0.+22.0+76+0.63+0.73,
07/08/2020 22:58,Male,Postgraduate,At home with family,No effect,No,3,Sometimes,Yes,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Numb,Directionless,"Agitated/ Irritable, Moody",No,Sometimes,Disturbed,Comforting and warm,NA,NA,Bored ,5,,2.84=3,0.3+0.28+0.72+0.55+0.99,
07/08/2020 23:01,Female,Class 10-12,At home with family,No effect,Maybe,3,Sometimes,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Not much,Never,Regular home cooked food,Emotional distress,Humbling,Excited,Moody,No,Sometimes,Disturbed,Fun and expressive,NA,NA,It was different but good. ,5,,2.75=3,0.5+0.3+0.61+0.73+0.61,
07/08/2020 23:03,Male,Under graduate,At home with family,No effect,Yes,3,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Numb,Anxious,Moody,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,I have become more active and actually like spending time with myself. I kinda explored myself during this time. ,4,,2.76=3,0.35+0.29+0.68+0.55+0.89,
07/08/2020 23:07,Male,Under graduate,At hostel/flat with friends,No effect,Yes,3,Quite often,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Somewhat,Never,Regular home cooked food,Boredom,Humbling,Didn't think about it,Moody,No,Sometimes,Disturbed,Comforting and warm,NA,NA,Got time for myself. Got in touch with myself,4,,2.8=3,0.4+0.29+0.75+0.69+0.67,
07/08/2020 23:19,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,4,Often,Yes,"Studying /being academically inclined, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Pleasant,Motivated,Moody,Yes,Often,Normal,Comforting and warm,NA,NA,In lockdown I have maintained my physical health by doing exercises daily and trying to make myself mentally and emotionally strong.,5,,2.19=2,0.35+0.21+0.58+0.49+0.56,
07/08/2020 23:20,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,5,Quite often,No,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I overeat,I've gained weight,Not at all,Never,Regular home cooked food,Boredom,Humbling,Excited,Sad,Yes,Often,Lack of sleep,Comforting and warm,Yes,No,"Lockdown, unlike most people proved to be extremely fruitful for me. I got so much time to introspect and to heal old wounds. It was a mix of anxiety and extreme depression followed by calm & comfort.",4,,3.69=4,0.35+0.15+0.55+0.88+1.76,
07/08/2020 23:25,Male,Under graduate,At home with family,No effect,No,5,Often,No,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Somewhat,Regularly,Regular home cooked food,Hunger,Pleasant,Motivated,Satisfied,No,Sometimes,Normal,Fun and expressive,No,No,"Physical health is good as regular exercise are done, mentally stable focus on carrer .",5,,1.99=2,0.35+0.19+0.64+0.56+0.25,
07/08/2020 23:26,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Sometimes,No,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Humbling,Motivated,Satisfied,No,Often,Normal,Comforting and warm,NA,NA,"It was a roller coaster ride, somedays I was productive, on other days I was lazy. I've stayed strong mentally and emotionally, while physically, I've gained some weight because of overeating",4,,2.72=3,0.4+0.21+0.89+0.77+0.45,
07/08/2020 23:45,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've gained weight,Significantly,Somedays,Regular home cooked food,Emotional distress,Numb,Anxious,Sad,Yes,Rarely,Disturbed,Toxic and Argumentative,Yes,Yes,I dont know,,,4.59=5,0.5+.014+0.58+0.88+2.49,
07/08/2020 23:50,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,4,Sometimes,Yes,Netflix or Other OTT,No,Almost 6 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Excited,Satisfied,No,Rarely,Disturbed,Fun and expressive,NA,NA,Fine,4,,2.55=3,0.45+0.24+0.99+0.31+0.56,
07/09/2020 0:00,Female,Postgraduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Sometimes,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Numb,Motivated,Happy,No,Sometimes,Normal,Fun and expressive,NA,NA,It was fun as well as boring...Fun as I spend time with my family and friends and indulge in my hobbits..Boring as I grew lazy..,5,,1.96=2,0.35+0.28+0.46+0.19+0.68,
07/09/2020 0:07,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,No,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not at all,Somedays,Regular home cooked food,Hunger,Numb,Directionless,Satisfied,No,Sometimes,Disturbed,Comforting and warm,NA,NA,Worried about academics because I didn't really focus on studies as much as I would have if I was having regular college classes.,5,,2.58=3,0.4+0.33+0.67+0.29+0.89,
07/09/2020 0:13,Female,Under graduate,At home with family,No effect,Yes,3,Rarely,Yes,"Household chores, Netflix or Other OTT",No,3-4 hours,I eat in regulation,Unchanged,Not at all,Regularly,Regular home cooked food,Hunger,Numb,Motivated,"Happy, Moody",Yes,Often,Normal,Formal and unyielding,Yes,No,"Physical- great, mental- disturbed, emotional- don't care much",4,,3.56=4,0.4+0.36+0.73+0.11+1.96,
07/09/2020 0:17,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Hunger,Numb,Anxious,Satisfied,No,Sometimes,Normal,Fun and expressive,NA,NA,"A pretty rare occurrence spending time with family. It was okay apart from the instances of feeling anxious or suffocated, having the urge to go out or missing the normal routine which were short term",5,,2.63=3,0.4+0.31+0.76+0.28+0.88,
07/09/2020 0:20,Female,Class 10-12,At home with family,"Yes, i'm more pessimistic now",Yes,2,Sometimes,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Somewhat,Somedays,Regular home cooked food,Emotional distress,Numb,Anxious,"Satisfied, Agitated/ Irritable, Sad",No,Rarely,Disturbed,Comforting and warm,NA,NA,Physically being fit has become tougher. There's a constant mental toll due to exams and being not able to reach your highest limit which makes emotions unstable. Hence making u less productive ,4,,3.54=4,0.5+0.48+0.58+0.99+0.99,
07/09/2020 0:22,Male,Class 10-12,At home with family,No effect,Maybe,3,Often,No,"Studying /being academically inclined, Gaming",No,1-2 hours,I eat in regulation,I've lost weight,Somewhat,Never,Regular home cooked food,Hunger,Humbling,Didn't think about it,"Happy, Satisfied",No,Often,Normal,Fun and expressive,NA,NA,Good and unchanged,5,,2.68=3,0.45+0.34+0.86+0.57+0.46,
07/09/2020 0:24,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,5,Rarely,Yes,Studying /being academically inclined,No,Less than 1 hour,I eat in regulation,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,Yes,Never,Normal,Fun and expressive,NA,NA,It's being quite fun and too spending a lot of time with family after a long time . That's why my mental health is superb .Iam mentally physically and emotionally fit.,5,,2.28=2,0.5+0.11+0.55+0.54+0.58,
07/09/2020 0:52,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping",No,1-2 hours,I overeat,Unchanged,Not at all,Somedays,Regular home cooked food,Hunger,Humbling,Anxious,"Satisfied, Agitated/ Irritable",Yes,Sometimes,Normal,Comforting and warm,NA,NA,It was a mixture of everything in moderation.,4,,2.67=3,0.4+0.29+0.67+0.55+0.76,
07/09/2020 2:04,Male,Postgraduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Sometimes,No,Household chores,"Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Somewhat,Regularly,Regular home cooked food,Hunger,Humbling,Anxious,Moody,No,Sometimes,Oversleeping,Fun and expressive,No,Yes,"Its a Fun, Relaxed and Quality time period with Family.",5,,3.68=4,0.3+0.21+0.89+0.59+1.69,
07/09/2020 2:08,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Quite often,Yes,"Gaming, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Boredom,Numb,Directionless,Moody,Yes,Sometimes,Disturbed,Toxic and Argumentative,Yes,No,"I wish i could describe, it was traumatic.",,,4.64=5,0.35+0.21+0.81+0.58+2.69,
07/09/2020 2:54,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,I've lost weight,Not at all,Regularly,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Happy,No,Often,Disturbed,Comforting and warm,NA,NA,Felt relaxed,4,,2.31=2,0.5+0.15+0.79+0.38+0.49,
07/09/2020 3:10,Female,Class 10-12,At home with family,No effect,Maybe,5,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Almost 6 hours,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Anxious,Satisfied,No,Often,Disturbed,Fun and expressive,NA,NA,"It was fun .I did many things I liked but lockdown actually did not affected me much as I usually stay at home and do almost the same thing, just had more time with family.",5,,2.6=3,0.5+0.19+0.69+0.59+0.63,
07/09/2020 3:35,Male,Under graduate,At home with family,No effect,No,4,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping",No,3-4 hours,I overeat,I've gained weight,Not much,Never,Regular home cooked food,Hunger,Humbling,Motivated,"Happy, Agitated/ Irritable",No,Sometimes,Lack of sleep,Comforting and warm,NA,NA,"Pretty pleasant. I got to do do what I could not before. I studied mainly, cooked cake and some more stuff. Overall, a new and nice experience.",5,,2.67=3,0.35+028+0.59+0.76+0.69,
07/09/2020 3:48,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,1,Rarely,No,Household chores,No,More than 6 hours,I under eat,I've gained weight,Significantly,Somedays,Fried/ junk food,Boredom,Numb,Anxious,Sad,Yes,Never,Oversleeping,Toxic and Argumentative,Yes,No,Frustating,5,,5,0.4+0.39+0.99+0.89+2.33,
07/09/2020 7:41,Male,Under graduate,At home with family,No effect,Yes,3,Sometimes,Yes,Netflix or Other OTT,No,Almost 6 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Boredom,Humbling,Excited,Moody,Yes,Sometimes,Normal,Fun and expressive,No,Yes,Nil,2,,3.67=4,0.35+0.36+0.96+0.57+1.43,
07/09/2020 7:47,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Maybe,3,Sometimes,Yes,"Household chores, Sleeping","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Somewhat,Never,Regular home cooked food,Boredom,Numb,Directionless,Moody,No,Rarely,Disturbed,Formal and unyielding,NA,NA,Boring,3,,3.64=4,0.4+0.41+0.78+.76+1.29,
07/09/2020 7:51,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,Gaming,"Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Somewhat,Regularly,Regular home cooked food,Boredom,Pleasant,Motivated,Happy,No,Sometimes,Normal,Fun and expressive,Yes,Yes,Good,5,,3.52=4,0.35+0.15+0.89+0.77+1.36,
07/09/2020 8:14,Female,Postgraduate,At home with family,No effect,Maybe,3,Never,Yes,Netflix or Other OTT,"Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Regularly,Regular home cooked food,Boredom,Humbling,Didn't think about it,Moody,Yes,Sometimes,Normal,Fun and expressive,No,No,Lockdown experience is good. Sometimes I feel lot's of chenge in our lifestyle and that is good. ,4,,2.65=3,0.35+0.36+0.98+0.39+0.57,
07/09/2020 8:46,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,2,Sometimes,Yes,Sleeping,No,3-4 hours,I eat in regulation,Unchanged,Somewhat,Regularly,Regular home cooked food,Boredom,Chaotic,Anxious,Moody,Yes,Never,Oversleeping,Toxic and Argumentative,No,Yes,"Physical health is going good, while mental and emotional health are somewhat disturbed. ",4,,4.06=4,0.4+0.43+0.88+0.44+1.91,
